category,applicable_act,rights_summary
emergency_police,"BNS Section 115 / IPC Section 323 (Voluntarily Causing Hurt)","You have the right to get immediate medical aid and file an FIR under Section 154 of CrPC. Police must investigate causing hurt."
emergency_police,"BNS Section 351 / IPC Section 506 (Criminal Intimidation)","Threats to cause harm or death are cognizable offenses. You can demand police protection and file a formal criminal complaint."
emergency_police,"Domestic Violence Act 2005 / BNS Section 85","Protects spouses and family members from physical abuse. You have the right to protection orders and free legal aid."
emergency_police,"BNS Section 303 / IPC Section 379 (Theft & Burglary)","Theft is a cognizable offence. Police are required to file an FIR and dispatch local officers to investigate property loss."
emergency_police,"BNS Section 318 / IPC Section 420 (Cheating & Dishonesty)","If someone cheats you financially or breaches trust, you have the right to file a criminal complaint for fraud and cheating."
emergency_police,"Information Technology Act 2000 (Section 66C Identity Theft & Cyber Fraud)","Cybercrime departments must register cases of online hacking, financial phishing, or identity theft. File details at cybercrime.gov.in."
emergency_police,"BNS Section 308 / IPC Section 384 (Extortion & Blackmail)","Forcing someone to deliver property or money by putting them in fear of injury is a cognizable offense. Immediate police action is required."
emergency_police,"BNS Section 356 / IPC Section 499 (Defamation & Character Assassination)","Protects citizens against false statements that harm their reputation. You can file a criminal or civil defamation case."
property_civil,"Transfer of Property Act (Section 106 Notice to Quit)","Landlords must issue a written 15-day notice before terminating a monthly tenancy. Arbitrary lockouts are illegal."
property_civil,"Rent Control Act (Tenant Protection Protections)","Protects tenants from unreasonable rent hikes and ensures they cannot be evicted without a valid decree from Rent Controller."
property_civil,"Indian Contract Act (Section 73 Breach of Contract)","Provides compensation for any loss or damage caused by breach of contract. Entitles citizens to sue for damages in Civil Court."
property_civil,"BNS Section 329 / IPC Section 441 (Criminal Trespass)","Entering another's property without permission to intimidate or commit offense is actionable under civil trespass and criminal codes."
property_civil,"Consumer Protection Act 2019 (Section 2(9) Consumer Rights)","Protects against defective goods, deficient services, and unfair trade practices. You can file a case in the Consumer Forum."
property_civil,"Right to Information Act 2005 (Section 6 Filing RTI Request)","Allows citizens to request information from any public authority. Government departments must respond within 30 days."
property_civil,"Motor Vehicles Act 1988 (Third-Party Insurance Claims)","In case of a traffic accident, victims are legally entitled to claim compensation from the motor accident claims tribunal."
property_civil,"Maintenance & Welfare of Parents Act 2007","Children are legally obligated to maintain their elderly parents. Parents can claim monthly maintenance allowances via tribunals."
labor_employment,"Industrial Disputes Act (Section 25F Retrenchment Conditions)","Employees in service for 1+ year must receive 1-month notice in writing indicating reasons or payment in lieu before retrenchment."
labor_employment,"Payment of Wages Act (Section 5 Time of Payment)","Wages must be paid before the 7th of each month (establishments under 1000 employees). Unilateral salary cuts or delays are illegal."
labor_employment,"POSH Act 2013 (Sexual Harassment at Workplace)","Mandates an Internal Complaints Committee (ICC) in all offices with 10+ employees. Victims have rights to paid leave during inquiry."
labor_employment,"Maternity Benefit Act 2013 (Section 5 Rights to Leave)","Women employees are entitled to 26 weeks of paid maternity leave. Terminating an employee during maternity leave is a criminal offense."
labor_employment,"Factories Act 1948 (Section 51 Working Hours)","No adult worker shall be required to work in a factory for more than 48 hours in any week, and is entitled to overtime pay."
labor_employment,"Employees Provident Fund Act 1952 (EPF Contributions)","Employer must deposit EPF contributions regularly. Delay or default is a punishable offense under labor laws."
